250	0.01
252	0
254	-0.01
256	0
258	0
260	0
262	0
264	0
266	-0.01
268	0
270	0
272	0
274	0.01
276	0.01
278	0.02
280	0.03
282	0.04
284	0.06
286	0.11
288	0.15
290	0.24
292	0.34
294	0.5
296	0.66
298	0.87
300	1.07
302	1.35
304	1.72
306	2.15
308	2.57
310	3.01
312	3.51
314	4.14
316	4.74
318	5.5
320	6.24
322	7.26
324	8.26
326	9.53
328	10.89
330	12.51
332	14.4
334	16.52
336	18.99
338	21.65
340	24.59
342	27.95
344	31.53
346	35.49
348	39.55
350	43.65
352	47.58
354	51.19
356	54.84
358	58.34
360	61.87
362	65.14
364	68.18
366	70.88
368	72.98
370	74.97
372	76.58
374	78.03
376	78.89
378	80.04
380	80.96
382	81.93
384	82.3
386	82.82
388	82.89
390	83.04
392	83.05
394	83.37
396	83.67
398	83.63
400	83.38
402	82.97
404	82.49
406	82.07
408	81.58
410	81.39
412	81.25
414	81.09
416	80.73
418	80.29
420	79.9
422	79.69
424	79.54
426	79.45
428	79.26
430	79.22
432	78.9
434	78.84
436	78.49
438	78.25
440	77.81
442	77.71
444	77.85
446	78.12
448	78.25
450	78.19
452	78.11
454	77.96
456	78
458	77.91
460	77.87
462	77.88
464	78.05
466	78.25
468	78.37
470	78.54
472	78.68
474	78.74
476	78.79
478	78.89
480	79.16
482	79.47
484	79.87
486	80.15
488	80.07
490	79.85
492	79.68
494	79.83
496	80.01
498	80.33
500	80.38
502	80.64
504	80.74
506	81.07
508	81.22
510	81.46
512	81.61
514	81.86
516	82.03
518	82.3
520	82.64
522	82.9
524	83.23
526	83.32
528	83.62
530	83.65
532	83.71
534	83.91
536	84.07
538	84.44
540	84.48
542	84.68
544	84.74
546	84.79
548	85.03
550	85.12
552	85.39
554	85.64
556	85.88
558	86.05
560	86.09
562	86.28
564	86.37
566	86.61
568	86.72
570	87.04
572	87.18
574	87.38
576	87.45
578	87.46
580	87.61
582	87.45
584	87.61
586	87.52
588	87.6
590	87.61
592	87.84
594	88.22
596	88.3
598	88.36
600	88.47
602	88.77
